Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz
Vardas33            Pavarde33           7    10   7    7    9    2    6    4    2    4    1    
Vardas34            Pavarde34           7    4    10   10   1    4    1    10   1    6    3    
Vardas35            Pavarde35           9    1    2    8    2    8    5    2    4    4    10   
Vardas36            Pavarde36           3    2    3    6    8    7    5    3    9    5    4    
Vardas37            Pavarde37           2    6    5    1    1    9    9    9    2    3    6    
Vardas38            Pavarde38           5    9    10   5    2    8    2    3    6    2    9    
Vardas39            Pavarde39           6    7    1    5    4    7    5    3    2    3    3    
Vardas40            Pavarde40           6    1    7    3    6    10   5    2    10   2    2    
Vardas41            Pavarde41           4    3    10   4    8    7    6    9    4    6    8    
Vardas42            Pavarde42           2    8    10   2    1    8    4    6    5    5    4    
Vardas43            Pavarde43           5    2    8    10   6    4    4    7    10   7    1    
Vardas44            Pavarde44           9    8    7    9    5    9    2    7    3    8    3    
Vardas45            Pavarde45           10   10   1    9    7    2    6    6    3    4    10   
Vardas46            Pavarde46           2    8    3    1    3    9    10   10   2    1    3    
Vardas47            Pavarde47           3    10   5    10   5    4    4    9    8    2    1    
Vardas48            Pavarde48           4    9    5    4    4    5    6    1    5    5    2    
Vardas49            Pavarde49           5    9    5    2    10   9    1    10   8    1    8    
Vardas50            Pavarde50           9    8    2    1    1    10   8    5    6    1    3    
Vardas51            Pavarde51           2    7    3    1    7    7    3    7    6    10   9    
Vardas52            Pavarde52           4    5    4    5    3    4    10   3    4    8    10   
Vardas53            Pavarde53           6    10   8    10   9    10   3    3    6    2    6    
Vardas54            Pavarde54           4    2    3    3    7    5    8    10   9    7    2    
Vardas55            Pavarde55           4    6    4    6    2    6    2    2    4    6    1    
Vardas56            Pavarde56           7    1    8    4    4    9    1    10   2    6    1    
Vardas57            Pavarde57           9    10   5    10   1    8    9    10   3    3    5    
Vardas58            Pavarde58           6    9    9    8    5    3    7    7    10   3    7    
Vardas59            Pavarde59           10   3    9    6    7    8    1    3    6    2    2    
Vardas60            Pavarde60           3    8    3    4    4    1    9    9    9    9    7    
Vardas61            Pavarde61           8    3    1    10   3    6    10   7    10   10   8    
Vardas62            Pavarde62           6    10   6    7    9    3    5    9    8    5    4    
Vardas63            Pavarde63           8    7    9    9    1    9    8    4    2    10   2    
Vardas64            Pavarde64           3    4    7    2    3    8    5    4    10   9    5    
Vardas65            Pavarde65           4    5    4    8    3    6    6    10   10   1    4    
Vardas66            Pavarde66           1    2    4    10   9    6    9    7    7    1    1    
Vardas67            Pavarde67           2    8    9    8    5    8    6    6    8    5    2    
Vardas68            Pavarde68           7    3    5    5    9    10   10   1    8    7    9    
Vardas69            Pavarde69           2    6    2    6    3    7    9    5    7    10   6    
Vardas70            Pavarde70           9    8    4    4    10   2    7    1    9    1    6    
Vardas71            Pavarde71           6    1    10   3    8    7    7    4    2    4    9    
Vardas72            Pavarde72           8    9    6    5    9    1    7    4    1    4    10   
Vardas73            Pavarde73           6    10   7    6    4    3    5    1    6    3    7    
Vardas74            Pavarde74           1    5    10   3    9    10   4    6    8    3    1    
Vardas75            Pavarde75           2    1    5    3    6    9    8    2    9    5    5    
Vardas76            Pavarde76           2    3    10   4    10   3    2    1    2    7    1    
Vardas77            Pavarde77           3    2    8    3    4    10   4    2    8    6    7    
Vardas78            Pavarde78           4    1    9    5    9    5    3    8    2    5    8    
Vardas79            Pavarde79           4    10   4    10   4    4    10   8    8    10   5    
Vardas80            Pavarde80           9    6    10   9    4    1    1    8    6    9    2    
Vardas81            Pavarde81           1    2    7    10   3    1    6    7    4    6    7    
Vardas82            Pavarde82           6    2    9    1    4    4    5    9    3    9    4    
Vardas83            Pavarde83           10   10   5    10   1    9    9    1    9    1    8    
Vardas84            Pavarde84           8    3    7    4    10   6    8    2    6    1    5    
Vardas85            Pavarde85           2    10   6    9    3    5    9    4    6    1    8    
Vardas86            Pavarde86           6    1    7    3    9    10   5    8    10   10   9    
Vardas87            Pavarde87           10   2    8    6    8    7    6    3    4    1    5    
Vardas88            Pavarde88           10   2    9    7    7    7    4    5    10   1    1    
Vardas89            Pavarde89           4    4    2    1    5    1    3    6    5    2    10   
Vardas90            Pavarde90           10   10   2    8    10   2    8    9    2    9    1    
Vardas91            Pavarde91           1    7    10   3    8    9    6    6    6    9    8    
Vardas92            Pavarde92           3    9    6    1    1    5    9    3    10   4    2    
Vardas93            Pavarde93           4    7    3    1    9    9    4    2    4    5    3    
Vardas94            Pavarde94           2    8    1    2    10   10   8    4    4    10   10   
Vardas95            Pavarde95           1    5    7    1    9    2    4    1    1    3    5    
Vardas96            Pavarde96           3    5    3    5    6    2    6    8    1    5    2    
Vardas97            Pavarde97           5    4    10   6    7    8    6    5    10   5    9    
Vardas98            Pavarde98           6    5    10   5    6    3    9    4    9    2    10   
Vardas99            Pavarde99           9    1    9    9    7    9    9    1    10   8    1    
Vardas100           Pavarde100          10   8    3    3    10   4    9    8    8    8    8    
Vardas101           Pavarde101          5    6    2    7    1    4    8    4    4    2    8    
Vardas102           Pavarde102          4    7    9    2    3    9    9    2    7    9    5    
Vardas103           Pavarde103          9    10   2    7    7    5    8    2    8    4    10   
Vardas104           Pavarde104          10   2    4    10   8    4    1    2    7    5    6    
Vardas105           Pavarde105          5    3    6    3    2    2    7    5    1    4    9    
Vardas106           Pavarde106          3    10   7    3    4    6    10   4    4    9    10   
Vardas107           Pavarde107          2    8    3    10   7    7    2    2    7    9    1    
Vardas108           Pavarde108          5    2    4    8    6    4    3    7    6    3    9    
Vardas109           Pavarde109          8    8    3    4    10   2    10   1    6    8    2    
Vardas110           Pavarde110          5    2    5    7    1    3    4    9    2    6    5    
Vardas111           Pavarde111          7    4    9    3    6    3    1    7    6    3    4    
Vardas112           Pavarde112          6    1    9    3    2    2    4    6    3    6    9    
Vardas113           Pavarde113          5    3    3    5    3    1    7    8    10   5    3    
Vardas114           Pavarde114          6    6    6    7    4    5    7    7    4    9    4    
Vardas115           Pavarde115          4    4    9    7    1    3    9    7    10   3    8    
Vardas116           Pavarde116          2    6    4    9    3    10   5    6    4    3    10   
Vardas117           Pavarde117          5    6    8    3    7    1    3    10   8    9    7    
Vardas118           Pavarde118          4    5    5    2    6    3    7    3    10   1    9    
Vardas119           Pavarde119          1    7    1    4    4    4    1    8    7    3    8    
Vardas120           Pavarde120          9    6    2    1    9    6    1    5    9    6    1    
Vardas121           Pavarde121          8    10   3    4    10   9    3    5    5    2    9    
Vardas122           Pavarde122          2    8    9    6    2    5    5    3    4    5    9    
Vardas123           Pavarde123          6    6    9    9    7    9    6    6    2    6    10   
Vardas124           Pavarde124          1    4    4    4    1    9    4    10   1    3    5    
Vardas125           Pavarde125          2    1    2    9    2    10   10   5    4    8    3    
Vardas126           Pavarde126          1    9    9    4    6    7    10   7    6    7    8    
Vardas127           Pavarde127          8    5    7    6    8    3    1    3    10   3    8    
Vardas128           Pavarde128          3    5    2    4    4    5    5    4    4    1    10   
Vardas129           Pavarde129          6    10   5    4    10   6    4    5    5    4    1    
Vardas130           Pavarde130          2    7    8    2    2    3    10   5    3    10   4    
Vardas131           Pavarde131          10   6    1    3    1    9    8    8    2    4    10   
Vardas132           Pavarde132          2    1    3    4    6    3    2    6    3    2    3    
Vardas133           Pavarde133          8    7    3    10   2    8    1    10   5    3    9    
Vardas134           Pavarde134          3    6    9    1    1    8    5    1    9    9    1    
Vardas135           Pavarde135          5    3    3    2    3    4    7    9    6    2    7    
Vardas136           Pavarde136          5    1    5    9    2    10   4    9    3    1    6    
Vardas137           Pavarde137          8    5    5    3    1    5    8    2    7    2    9    
Vardas138           Pavarde138          2    8    5    3    3    4    3    8    8    6    7    
Vardas139           Pavarde139          2    3    1    7    5    5    7    1    10   10   9    
Vardas140           Pavarde140          7    3    4    3    8    4    8    6    2    5    1    
Vardas141           Pavarde141          9    10   10   3    4    5    5    6    2    6    3    
Vardas142           Pavarde142          4    1    9    7    5    5    10   3    3    10   7    
Vardas143           Pavarde143          5    4    10   5    6    7    1    3    4    9    1    
Vardas144           Pavarde144          1    1    3    9    3    10   6    6    6    3    1    
Vardas145           Pavarde145          10   4    3    4    9    10   2    6    5    3    6    
Vardas146           Pavarde146          3    2    8    7    2    7    5    6    2    2    2    
Vardas147           Pavarde147          3    5    4    8    4    7    6    9    7    2    8    
Vardas148           Pavarde148          6    2    2    1    5    2    5    8    6    8    9    
Vardas149           Pavarde149          1    7    8    6    4    1    4    7    3    6    9    
Vardas150           Pavarde150          5    5    10   2    2    8    3    7    3    4    5    
Vardas151           Pavarde151          5    5    9    4    10   4    7    5    7    9    1    
Vardas152           Pavarde152          7    2    7    9    1    2    3    6    1    3    7    
Vardas153           Pavarde153          3    9    2    1    1    9    10   10   10   6    7    
Vardas154           Pavarde154          3    2    3    3    9    8    5    5    5    2    8    
Vardas155           Pavarde155          10   7    6    9    2    6    4    7    10   4    10   
Vardas156           Pavarde156          6    5    7    1    4    5    2    4    6    6    4    
Vardas157           Pavarde157          5    10   6    5    6    9    8    10   7    3    2    
Vardas158           Pavarde158          9    3    6    1    9    1    2    9    10   9    2    
Vardas159           Pavarde159          1    7    7    2    7    10   8    1    3    5    2    
Vardas160           Pavarde160          10   1    2    3    6    1    1    4    6    5    6    
Vardas161           Pavarde161          10   6    6    2    6    9    3    10   2    9    8    
Vardas162           Pavarde162          5    3    1    5    1    2    3    7    3    6    9    
Vardas163           Pavarde163          5    6    10   3    4    8    10   7    8    1    9    
Vardas164           Pavarde164          9    7    8    5    9    3    9    10   7    3    7    
Vardas165           Pavarde165          4    3    3    1    4    7    7    5    7    4    4    
Vardas166           Pavarde166          2    8    5    4    4    2    3    10   5    8    10   
Vardas167           Pavarde167          8    8    8    3    6    9    5    2    1    2    6    
Vardas168           Pavarde168          7    2    2    4    3    6    3    3    3    7    7    
Vardas169           Pavarde169          1    1    4    2    10   8    2    10   5    5    2    
Vardas170           Pavarde170          10   5    8    9    3    1    4    8    1    5    9    
Vardas171           Pavarde171          8    9    4    7    9    7    2    10   8    5    1    
Vardas172           Pavarde172          7    1    10   4    2    3    6    3    3    9    7    
Vardas173           Pavarde173          2    3    6    2    4    3    9    1    5    5    3    
Vardas174           Pavarde174          5    1    2    1    8    10   10   8    1    4    3    
Vardas175           Pavarde175          10   3    3    4    4    2    10   2    8    8    1    
Vardas176           Pavarde176          5    4    10   2    7    8    2    3    2    4    10   
Vardas177           Pavarde177          5    2    5    1    8    3    8    8    2    4    10   
Vardas178           Pavarde178          8    4    6    2    3    3    6    10   9    8    9    
Vardas179           Pavarde179          5    6    3    7    5    3    3    9    8    7    8    
Vardas180           Pavarde180          3    10   5    8    1    4    2    6    1    6    9    
Vardas181           Pavarde181          1    4    7    9    5    8    2    1    2    4    3    
Vardas182           Pavarde182          5    7    6    5    9    8    2    8    9    2    10   
Vardas183           Pavarde183          2    4    3    3    9    2    9    3    9    7    7    
Vardas184           Pavarde184          3    10   7    2    4    9    1    9    8    9    1    
Vardas185           Pavarde185          1    9    5    4    4    1    7    6    5    6    8    
Vardas186           Pavarde186          4    8    1    3    4    9    8    1    1    8    1    
Vardas187           Pavarde187          3    2    6    10   10   7    3    1    6    7    9    
Vardas188           Pavarde188          10   6    7    10   4    9    7    9    9    3    1    
Vardas189           Pavarde189          9    5    9    9    1    4    5    1    6    1    4    
Vardas190           Pavarde190          10   4    1    10   3    4    8    9    4    5    3    
Vardas191           Pavarde191          9    6    2    9    4    7    6    5    2    1    6    
Vardas192           Pavarde192          4    1    4    5    5    5    7    5    1    10   8    
Vardas193           Pavarde193          5    5    3    2    6    10   3    6    9    3    10   
Vardas194           Pavarde194          2    2    2    3    6    5    10   10   8    5    3    
Vardas195           Pavarde195          2    7    9    7    7    8    9    7    4    9    7    
Vardas196           Pavarde196          6    10   1    5    6    4    3    7    7    3    6    
Vardas197           Pavarde197          3    7    4    1    4    8    8    4    8    2    3    
Vardas198           Pavarde198          5    5    2    6    1    10   6    6    1    1    1    
Vardas199           Pavarde199          8    1    7    6    6    6    1    8    9    10   4    
Vardas200           Pavarde200          2    10   7    1    8    1    5    10   5    5    5    
Vardas201           Pavarde201          5    10   9    7    4    6    7    2    3    7    4    
Vardas202           Pavarde202          6    10   8    1    6    9    3    2    4    7    7    
Vardas203           Pavarde203          4    2    3    7    7    3    2    2    1    3    10   
Vardas204           Pavarde204          4    10   10   4    4    7    9    3    2    3    10   
Vardas205           Pavarde205          5    6    2    4    5    9    3    9    1    2    5    
Vardas206           Pavarde206          10   4    3    7    7    2    9    5    1    6    1    
Vardas207           Pavarde207          1    6    2    6    5    5    7    4    10   3    2    
Vardas208           Pavarde208          6    10   4    6    1    7    7    10   8    6    6    
Vardas209           Pavarde209          6    2    2    4    7    4    10   9    10   9    9    
Vardas210           Pavarde210          5    9    4    9    3    7    1    6    6    6    2    
Vardas211           Pavarde211          2    2    6    6    7    2    10   4    7    9    1    
Vardas212           Pavarde212          5    7    1    3    7    6    8    5    4    10   9    
Vardas213           Pavarde213          4    5    4    10   7    1    9    3    2    2    3    
Vardas214           Pavarde214          2    1    1    4    6    7    4    9    6    6    8    
Vardas215           Pavarde215          1    10   6    6    9    4    5    1    1    4    1    
Vardas216           Pavarde216          7    9    4    10   10   6    10   4    3    7    2    
Vardas217           Pavarde217          5    4    8    8    7    8    4    5    7    9    1    
Vardas218           Pavarde218          3    2    1    6    9    4    2    7    8    2    10   
Vardas219           Pavarde219          5    9    10   10   1    9    2    8    10   2    4    
Vardas220           Pavarde220          3    6    5    10   7    5    8    4    9    10   7    
Vardas221           Pavarde221          7    10   6    6    2    1    9    1    6    1    1    
Vardas222           Pavarde222          8    2    9    10   1    3    9    3    6    2    6    
Vardas223           Pavarde223          10   1    8    5    6    7    6    8    5    1    9    
Vardas224           Pavarde224          2    8    3    7    9    2    7    4    4    7    4    
Vardas225           Pavarde225          1    9    8    6    8    10   8    8    5    10   5    
Vardas226           Pavarde226          10   1    4    2    2    5    4    7    8    1    8    
Vardas227           Pavarde227          1    3    5    10   9    2    8    7    6    1    9    
Vardas228           Pavarde228          6    8    4    1    10   2    2    6    5    1    2    
Vardas229           Pavarde229          8    5    6    9    5    8    2    10   1    10   1    
Vardas230           Pavarde230          7    6    10   9    4    7    9    8    10   6    3    
Vardas231           Pavarde231          10   5    7    7    6    3    10   1    9    1    1    
Vardas232           Pavarde232          4    6    6    10   7    9    7    10   6    2    9    
Vardas233           Pavarde233          1    10   4    9    3    4    7    2    6    7    6    
Vardas234           Pavarde234          6    8    9    5    2    1    3    6    10   7    1    
Vardas235           Pavarde235          7    1    8    7    1    1    1    9    1    10   8    
Vardas236           Pavarde236          8    3    8    6    9    8    7    3    2    7    10   
Vardas237           Pavarde237          4    3    8    2    4    4    7    6    7    3    7    
Vardas238           Pavarde238          10   6    4    3    10   4    9    8    9    7    5    
Vardas239           Pavarde239          3    10   6    9    4    10   8    8    3    2    3    
Vardas240           Pavarde240          1    9    7    5    4    3    6    10   2    3    9    
Vardas241           Pavarde241          3    4    10   4    5    8    10   3    6    9    3    
Vardas242           Pavarde242          5    3    5    7    2    8    6    1    6    5    1    
Vardas243           Pavarde243          3    5    4    1    6    5    7    1    7    2    1    
Vardas244           Pavarde244          5    5    3    9    8    6    6    5    4    8    8    
Vardas245           Pavarde245          1    7    9    3    7    10   7    6    10   2    4    
Vardas246           Pavarde246          9    9    8    9    5    2    8    4    7    3    8    
Vardas247           Pavarde247          7    3    5    10   9    2    2    5    3    4    2    
Vardas248           Pavarde248          8    1    3    2    8    1    3    7    4    7    10   
Vardas249           Pavarde249          3    5    9    4    2    7    5    3    3    8    4    
Vardas250           Pavarde250          4    3    9    6    8    7    10   3    1    5    1    
Vardas251           Pavarde251          3    5    7    5    6    2    4    6    2    7    6    
Vardas252           Pavarde252          4    7    2    10   1    5    3    5    9    7    1    
Vardas253           Pavarde253          10   3    9    5    9    3    3    10   4    10   4    
Vardas254           Pavarde254          8    6    3    9    5    2    2    10   6    5    3    
Vardas255           Pavarde255          10   4    8    8    3    1    9    7    3    3    2    
Vardas256           Pavarde256          2    5    6    4    1    6    7    2    7    8    5    
Vardas257           Pavarde257          5    6    10   1    8    8    10   1    7    7    5    
Vardas258           Pavarde258          5    3    2    9    4    3    3    3    7    1    6    
Vardas259           Pavarde259          10   7    3    3    2    1    6    3    9    3    10   
Vardas260           Pavarde260          5    5    5    10   9    5    10   6    7    1    4    
Vardas261           Pavarde261          7    10   2    5    8    5    2    3    3    8    2    
Vardas262           Pavarde262          8    7    5    2    1    8    8    6    4    2    6    
Vardas263           Pavarde263          5    3    2    5    10   6    5    7    9    9    2    
Vardas264           Pavarde264          9    8    4    4    9    9    3    4    1    6    9    
Vardas265           Pavarde265          6    3    5    7    2    10   10   6    9    10   10   
Vardas266           Pavarde266          6    4    7    3    2    3    7    6    10   6    8    
Vardas267           Pavarde267          6    2    8    6    7    8    4    3    5    4    8    
Vardas268           Pavarde268          7    2    8    7    8    1    10   4    3    9    9    
Vardas269           Pavarde269          4    9    1    1    1    3    8    2    2    6    6    
Vardas270           Pavarde270          3    3    6    1    1    1    6    5    3    6    7    
Vardas271           Pavarde271          10   3    4    3    3    9    2    1    5    2    3    
Vardas272           Pavarde272          1    9    8    6    4    2    4    6    10   5    4    
Vardas273           Pavarde273          7    9    4    1    9    6    4    5    5    6    7    
Vardas274           Pavarde274          10   5    4    9    5    5    5    1    8    2    8    
Vardas275           Pavarde275          2    3    10   7    3    9    9    3    4    6    5    
Vardas276           Pavarde276          2    2    4    3    9    9    1    7    5    8    7    
Vardas277           Pavarde277          7    3    1    3    3    5    8    6    9    2    2    
Vardas278           Pavarde278          10   4    6    10   3    2    4    2    7    2    10   
Vardas279           Pavarde279          2    6    1    10   7    10   3    6    7    9    6    
Vardas280           Pavarde280          6    6    10   10   3    1    2    5    5    3    9    
Vardas281           Pavarde281          2    5    4    4    7    10   4    10   7    7    7    
Vardas282           Pavarde282          3    7    2    10   8    3    7    9    5    10   1    
Vardas283           Pavarde283          9    2    2    4    5    10   2    2    7    2    8    
Vardas284           Pavarde284          8    4    6    7    3    2    4    3    1    6    1    
Vardas285           Pavarde285          3    7    1    8    9    6    10   2    7    4    1    
Vardas286           Pavarde286          4    4    6    4    1    2    7    4    6    2    1    
Vardas287           Pavarde287          7    7    9    9    3    9    2    10   10   10   1    
Vardas288           Pavarde288          7    6    10   1    2    7    9    3    1    7    9    
Vardas289           Pavarde289          2    7    1    8    3    4    3    6    8    5    9    
Vardas290           Pavarde290          9    8    8    10   2    7    6    4    8    1    1    
Vardas291           Pavarde291          5    9    9    10   7    10   2    10   8    7    7    
Vardas292           Pavarde292          10   9    6    2    6    4    6    10   1    7    2    
Vardas293           Pavarde293          3    9    2    1    8    6    7    7    9    7    10   
Vardas294           Pavarde294          6    7    8    7    1    8    5    5    4    1    2    
Vardas295           Pavarde295          1    2    3    3    6    8    4    3    7    6    6    
Vardas296           Pavarde296          3    2    9    9    1    3    9    6    1    9    1    
Vardas297           Pavarde297          9    6    8    1    8    8    8    9    7    5    4    
Vardas298           Pavarde298          8    9    2    4    10   8    5    1    5    6    10   
Vardas299           Pavarde299          1    5    10   7    9    7    8    8    3    3    4    
Vardas300           Pavarde300          8    10   3    6    4    2    3    7    1    1    8    
Vardas301           Pavarde301          2    7    5    9    5    6    2    2    5    10   4    
Vardas302           Pavarde302          3    3    10   8    4    1    2    10   6    6    1    
Vardas303           Pavarde303          6    7    7    2    2    1    7    4    9    7    5    
Vardas304           Pavarde304          6    4    9    1    4    5    2    3    5    6    4    
Vardas305           Pavarde305          10   9    5    9    7    8    5    7    4    3    6    
Vardas306           Pavarde306          8    6    1    7    10   6    6    6    4    10   2    
Vardas307           Pavarde307          4    4    1    1    10   6    10   7    10   6    1    
Vardas308           Pavarde308          4    9    2    6    6    7    1    5    2    5    9    
Vardas309           Pavarde309          7    9    8    4    2    9    1    3    7    5    10   
Vardas310           Pavarde310          3    10   10   5    4    8    5    10   6    8    3    
Vardas311           Pavarde311          5    7    8    2    10   6    5    3    9    8    2    
Vardas312           Pavarde312          6    8    3    4    1    4    7    3    8    5    5    
Vardas313           Pavarde313          2    5    3    8    5    2    7    7    6    3    10   
Vardas314           Pavarde314          1    7    1    8    1    2    5    1    6    2    1    
Vardas315           Pavarde315          4    6    6    2    7    7    5    3    6    4    5    
Vardas316           Pavarde316          3    10   9    3    8    4    10   7    6    5    1    
Vardas317           Pavarde317          7    7    5    7    9    6    4    6    4    1    6    
Vardas318           Pavarde318          6    1    2    9    9    5    10   9    7    10   8    
Vardas319           Pavarde319          5    6    2    1    8    3    1    10   9    2    8    
Vardas320           Pavarde320          6    3    10   3    6    2    6    8    3    9    1    
Vardas321           Pavarde321          3    9    5    9    6    6    9    2    2    2    2    
Vardas322           Pavarde322          9    1    6    2    6    6    6    2    7    7    1    
Vardas323           Pavarde323          3    7    6    2    2    3    3    10   9    6    8    
Vardas324           Pavarde324          2    6    4    10   9    9    10   9    10   9    7    
Vardas325           Pavarde325          8    5    9    3    10   3    3    2    2    7    7    
Vardas326           Pavarde326          1    5    4    6    2    7    9    3    6    7    6    
Vardas327           Pavarde327          7    9    7    9    2    8    2    6    10   9    9    
Vardas328           Pavarde328          2    4    8    5    5    7    9    6    7    4    2    
Vardas329           Pavarde329          4    10   3    5    10   7    5    1    7    7    2    
Vardas330           Pavarde330          1    9    2    9    2    7    4    9    3    6    8    
Vardas331           Pavarde331          7    9    5    8    9    3    2    9    2    8    5    
Vardas332           Pavarde332          4    3    10   8    5    8    2    2    9    5    3    
Vardas333           Pavarde333          8    7    2    3    8    1    9    4    1    3    9    
Vardas334           Pavarde334          5    5    6    4    7    5    3    9    10   2    9    
Vardas335           Pavarde335          3    10   7    8    5    6    3    3    4    9    2    
Vardas336           Pavarde336          5    8    2    7    9    1    1    8    4    7    5    
Vardas337           Pavarde337          7    9    5    1    6    5    4    9    7    10   8    
Vardas338           Pavarde338          4    5    4    8    9    4    9    4    3    5    2    
Vardas339           Pavarde339          9    10   10   6    6    2    9    3    2    2    5    
Vardas340           Pavarde340          2    9    7    1    5    10   10   10   8    3    3    
Vardas341           Pavarde341          8    9    8    3    10   3    4    8    9    4    10   
Vardas342           Pavarde342          9    1    5    6    8    9    8    3    6    4    4    
Vardas343           Pavarde343          6    10   3    6    3    9    7    4    5    3    3    
Vardas344           Pavarde344          3    1    9    3    2    5    7    10   6    1    5    
Vardas345           Pavarde345          3    6    6    8    5    10   3    8    6    9    7    
Vardas346           Pavarde346          6    3    10   7    7    7    5    6    4    6    9    
Vardas347           Pavarde347          2    6    9    2    8    1    5    10   7    9    2    
Vardas348           Pavarde348          2    9    8    3    9    1    4    5    9    9    5    
Vardas349           Pavarde349          5    3    7    9    2    10   9    6    6    5    3    
Vardas350           Pavarde350          9    10   5    5    10   10   8    3    4    7    2    
Vardas351           Pavarde351          8    7    6    6    10   2    3    7    3    1    4    
Vardas352           Pavarde352          5    1    7    7    4    5    1    4    5    5    5    
Vardas353           Pavarde353          5    4    4    10   5    9    1    2    5    3    2    
Vardas354           Pavarde354          1    4    3    5    6    5    7    2    9    4    1    
Vardas355           Pavarde355          6    6    1    4    5    1    2    2    1    4    2    
Vardas356           Pavarde356          3    2    9    2    5    8    4    8    1    7    9    
Vardas357           Pavarde357          1    10   10   3    9    3    7    6    1    5    5    
Vardas358           Pavarde358          2    4    8    9    10   4    5    10   6    3    5    
Vardas359           Pavarde359          7    1    5    10   4    7    2    5    4    6    7    
Vardas360           Pavarde360          2    4    3    3    10   1    6    6    3    5    2    
Vardas361           Pavarde361          4    4    7    2    3    10   1    8    9    8    2    
Vardas362           Pavarde362          6    5    3    2    7    5    2    7    6    3    7    
Vardas363           Pavarde363          10   4    10   10   9    3    7    6    7    3    6    
Vardas364           Pavarde364          9    5    7    8    1    2    9    4    2    2    5    
Vardas365           Pavarde365          1    9    10   1    5    10   1    4    5    1    9    
Vardas366           Pavarde366          1    8    7    2    1    5    3    4    5    1    5    
Vardas367           Pavarde367          1    7    7    7    10   7    2    2    8    9    9    
Vardas368           Pavarde368          6    9    6    3    1    8    6    10   4    8    3    
Vardas369           Pavarde369          5    10   10   5    6    6    1    10   7    6    2    
Vardas370           Pavarde370          4    9    6    2    9    9    6    7    7    8    4    
Vardas371           Pavarde371          8    4    9    8    5    5    1    1    8    2    9    
Vardas372           Pavarde372          10   4    1    3    3    2    7    9    5    4    6    
Vardas373           Pavarde373          6    2    5    8    7    8    2    3    8    9    4    
Vardas374           Pavarde374          9    1    7    3    6    10   5    4    7    4    5    
Vardas375           Pavarde375          5    9    2    9    4    1    1    9    8    4    2    
Vardas376           Pavarde376          5    7    6    10   1    2    6    3    1    2    2    
Vardas377           Pavarde377          8    2    4    9    1    6    6    3    3    1    4    
Vardas378           Pavarde378          6    3    2    9    7    3    10   8    9    9    2    
Vardas379           Pavarde379          2    4    4    7    9    4    5    1    1    8    4    
Vardas380           Pavarde380          8    1    1    6    6    5    2    5    4    8    3    
Vardas381           Pavarde381          2    4    1    4    3    7    8    5    5    2    2    
Vardas382           Pavarde382          6    2    8    8    9    10   2    4    6    1    8    
Vardas383           Pavarde383          2    7    7    1    7    6    6    10   8    2    3    
Vardas384           Pavarde384          9    9    2    7    9    9    5    8    3    5    3    
Vardas385           Pavarde385          4    1    2    9    4    10   7    7    3    1    6    
