Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz
Vardas100           Pavarde100          9    8    5    5    6    4    4    8    8    3    7    
Vardas101           Pavarde101          2    9    9    6    2    3    3    5    9    3    7    
Vardas102           Pavarde102          6    10   3    4    3    9    6    2    4    7    1    
Vardas103           Pavarde103          8    9    7    3    3    7    1    7    2    4    2    
Vardas104           Pavarde104          5    8    6    2    4    9    9    7    5    3    2    
Vardas105           Pavarde105          2    5    7    5    5    10   7    6    3    8    7    
Vardas106           Pavarde106          9    3    6    6    2    5    1    1    3    3    5    
Vardas107           Pavarde107          2    2    7    2    9    6    8    3    6    6    9    
Vardas108           Pavarde108          1    4    3    1    3    2    8    4    9    4    9    
Vardas109           Pavarde109          4    4    10   10   2    1    3    6    2    1    6    
Vardas110           Pavarde110          1    3    10   3    8    3    7    4    10   2    4    
Vardas111           Pavarde111          8    6    10   3    3    2    7    8    4    4    6    
Vardas112           Pavarde112          5    8    9    5    5    5    10   1    9    3    9    
Vardas113           Pavarde113          4    8    2    4    8    7    1    2    5    10   7    
Vardas114           Pavarde114          5    10   4    7    6    9    2    6    3    1    5    
Vardas115           Pavarde115          1    8    4    3    4    4    2    8    4    7    4    
Vardas116           Pavarde116          5    10   3    9    2    2    1    9    9    10   8    
Vardas117           Pavarde117          5    6    9    2    2    3    1    9    9    5    2    
Vardas118           Pavarde118          2    9    5    1    6    9    6    1    8    6    5    
Vardas119           Pavarde119          4    9    4    8    9    6    10   9    5    7    7    
Vardas120           Pavarde120          8    8    6    5    3    1    7    8    5    3    3    
Vardas121           Pavarde121          2    9    1    5    6    1    5    8    5    8    3    
Vardas122           Pavarde122          6    1    1    9    4    9    6    2    9    8    3    
Vardas123           Pavarde123          1    8    9    3    1    1    8    1    1    9    5    
Vardas124           Pavarde124          4    4    4    3    5    6    3    7    3    7    9    
Vardas125           Pavarde125          4    9    1    9    7    2    6    3    10   7    8    
Vardas126           Pavarde126          1    6    3    10   5    1    4    8    3    6    5    
Vardas127           Pavarde127          9    3    6    7    4    2    9    6    1    1    1    
Vardas128           Pavarde128          7    7    1    6    5    10   6    6    6    10   2    
Vardas129           Pavarde129          3    7    3    10   1    6    9    8    7    8    10   
Vardas130           Pavarde130          7    6    5    2    10   9    6    1    4    3    4    
Vardas131           Pavarde131          3    5    1    10   2    8    4    6    5    8    4    
Vardas132           Pavarde132          7    5    3    1    2    2    1    10   9    7    9    
Vardas133           Pavarde133          1    1    1    2    1    7    4    2    8    8    4    
Vardas134           Pavarde134          6    10   4    4    9    9    10   4    9    5    4    
Vardas135           Pavarde135          5    2    9    8    4    10   2    5    3    7    10   
Vardas136           Pavarde136          3    7    5    5    1    2    3    9    7    4    8    
Vardas137           Pavarde137          9    5    9    5    2    9    5    1    8    1    2    
Vardas138           Pavarde138          8    2    2    10   7    7    2    9    4    3    5    
Vardas139           Pavarde139          10   1    7    1    8    5    2    1    4    8    9    
Vardas140           Pavarde140          5    9    2    1    10   3    9    3    4    1    6    
Vardas141           Pavarde141          3    5    1    2    2    8    1    2    1    8    9    
Vardas142           Pavarde142          6    1    1    7    9    2    3    5    7    10   7    
Vardas143           Pavarde143          5    2    2    2    5    6    9    5    4    3    8    
Vardas144           Pavarde144          9    6    3    6    8    1    8    4    1    4    9    
Vardas145           Pavarde145          4    5    8    6    4    10   7    3    4    5    6    
Vardas146           Pavarde146          7    5    4    6    8    6    8    10   9    5    5    
Vardas147           Pavarde147          3    10   3    4    8    1    3    7    10   1    6    
Vardas148           Pavarde148          6    2    4    6    4    10   3    5    9    1    1    
Vardas149           Pavarde149          6    9    1    8    3    6    9    6    3    7    3    
Vardas150           Pavarde150          1    3    7    2    5    8    10   6    9    4    10   
Vardas151           Pavarde151          9    3    9    1    2    10   1    4    7    6    4    
Vardas152           Pavarde152          8    4    7    7    4    3    1    3    5    9    4    
Vardas153           Pavarde153          1    5    8    3    8    10   3    3    5    1    6    
Vardas154           Pavarde154          5    7    7    1    10   5    4    3    9    2    2    
Vardas155           Pavarde155          2    10   10   8    9    1    9    2    2    9    8    
Vardas156           Pavarde156          8    5    3    1    10   10   9    7    2    1    3    
Vardas157           Pavarde157          10   6    2    4    1    1    4    9    6    3    1    
Vardas158           Pavarde158          9    4    4    2    7    10   4    5    5    8    9    
Vardas159           Pavarde159          6    6    2    6    4    7    8    1    3    7    5    
Vardas160           Pavarde160          3    4    7    2    8    6    1    5    9    1    2    
Vardas161           Pavarde161          1    4    10   5    10   1    9    9    4    6    10   
Vardas162           Pavarde162          5    9    6    4    3    5    1    4    3    8    3    
Vardas163           Pavarde163          9    5    8    5    4    5    1    1    1    6    5    
Vardas164           Pavarde164          7    6    9    7    8    1    8    10   3    4    6    
Vardas165           Pavarde165          6    9    7    5    3    2    1    10   5    6    10   
Vardas166           Pavarde166          2    6    1    9    2    10   3    8    4    5    7    
Vardas167           Pavarde167          6    10   7    7    6    2    6    1    9    10   1    
Vardas168           Pavarde168          5    9    4    6    6    9    9    8    6    1    3    
Vardas169           Pavarde169          6    4    2    8    6    5    1    3    6    10   5    
Vardas170           Pavarde170          1    4    6    7    3    4    10   8    8    10   1    
Vardas171           Pavarde171          1    3    9    10   10   4    7    10   4    5    10   
Vardas172           Pavarde172          8    10   5    9    6    7    7    8    5    3    9    
Vardas173           Pavarde173          6    6    2    10   10   2    1    4    10   1    9    
Vardas174           Pavarde174          1    2    4    3    9    5    6    1    7    9    10   
Vardas175           Pavarde175          8    9    8    4    10   9    4    8    3    7    2    
Vardas176           Pavarde176          3    10   8    2    6    1    5    10   9    7    4    
Vardas177           Pavarde177          3    1    2    7    4    2    1    2    3    4    9    
Vardas178           Pavarde178          7    1    9    6    2    4    6    4    9    8    2    
Vardas179           Pavarde179          8    10   5    3    10   2    4    10   3    6    10   
Vardas180           Pavarde180          3    6    10   1    3    10   2    1    10   8    5    
Vardas181           Pavarde181          5    2    9    10   4    7    6    7    1    1    9    
Vardas182           Pavarde182          2    1    7    6    9    7    2    1    2    3    4    
Vardas183           Pavarde183          7    8    6    1    1    9    5    9    8    1    1    
Vardas184           Pavarde184          8    10   5    10   7    9    10   10   10   2    9    
Vardas185           Pavarde185          9    8    6    10   9    9    10   1    8    3    8    
Vardas186           Pavarde186          7    4    9    8    4    6    4    1    10   3    1    
Vardas187           Pavarde187          3    6    7    7    10   7    3    2    8    2    6    
Vardas188           Pavarde188          6    5    6    10   6    10   2    5    10   10   10   
Vardas189           Pavarde189          7    3    8    10   10   5    4    5    3    3    8    
Vardas190           Pavarde190          10   5    5    3    6    2    7    2    3    8    9    
Vardas191           Pavarde191          3    6    4    2    8    10   8    3    8    6    7    
Vardas192           Pavarde192          7    6    3    3    8    4    4    3    2    7    3    
Vardas193           Pavarde193          3    8    9    8    7    8    7    7    9    2    7    
Vardas194           Pavarde194          7    5    1    1    7    10   9    9    7    8    2    
Vardas195           Pavarde195          7    4    9    5    2    10   9    8    5    6    7    
Vardas196           Pavarde196          8    1    6    10   7    5    4    1    6    7    6    
Vardas197           Pavarde197          1    5    3    7    7    10   5    7    5    6    4    
Vardas198           Pavarde198          4    2    8    3    4    2    10   2    2    6    3    
Vardas199           Pavarde199          10   4    8    4    3    4    6    7    1    1    5    
Vardas200           Pavarde200          6    4    1    5    4    3    4    4    3    10   9    
Vardas201           Pavarde201          3    10   9    4    1    7    7    6    8    2    3    
Vardas202           Pavarde202          10   2    4    1    2    3    5    4    4    3    6    
Vardas203           Pavarde203          3    2    2    4    1    5    2    8    6    6    4    
Vardas204           Pavarde204          6    9    8    4    1    6    6    7    5    9    7    
Vardas205           Pavarde205          2    9    1    6    6    1    3    4    6    8    7    
Vardas206           Pavarde206          8    8    6    2    6    2    6    4    7    10   10   
Vardas207           Pavarde207          5    9    8    4    2    6    5    6    3    1    9    
Vardas208           Pavarde208          5    8    2    5    9    3    8    7    7    8    2    
Vardas209           Pavarde209          5    1    10   9    2    6    1    5    3    6    4    
Vardas210           Pavarde210          2    1    3    2    5    8    2    10   2    1    1    
Vardas211           Pavarde211          9    6    7    3    5    6    10   5    6    3    5    
Vardas212           Pavarde212          5    2    5    8    10   7    5    4    10   8    4    
Vardas213           Pavarde213          1    4    5    8    9    4    6    6    8    5    10   
Vardas214           Pavarde214          9    8    2    7    5    9    6    2    9    5    4    
Vardas215           Pavarde215          7    1    2    6    10   7    9    5    2    6    8    
Vardas216           Pavarde216          3    10   8    10   6    2    2    8    7    6    6    
Vardas217           Pavarde217          10   3    5    8    2    8    8    8    9    1    3    
Vardas218           Pavarde218          7    2    4    7    4    6    8    3    2    8    9    
Vardas219           Pavarde219          4    3    8    8    1    6    6    6    9    9    7    
Vardas220           Pavarde220          3    2    7    5    8    9    5    6    8    7    4    
Vardas221           Pavarde221          5    8    3    1    1    3    6    4    6    8    10   
Vardas222           Pavarde222          4    5    4    8    7    2    4    6    1    4    7    
Vardas223           Pavarde223          10   5    5    9    4    9    2    6    5    4    8    
Vardas224           Pavarde224          5    6    4    7    8    4    7    2    7    6    1    
Vardas225           Pavarde225          2    2    6    6    3    8    5    1    3    8    6    
Vardas226           Pavarde226          4    4    1    10   1    2    1    4    8    5    5    
Vardas227           Pavarde227          4    3    10   9    5    8    7    6    3    5    5    
Vardas228           Pavarde228          9    2    4    3    2    1    3    10   7    1    7    
Vardas229           Pavarde229          4    2    4    10   6    3    4    5    5    4    6    
Vardas230           Pavarde230          4    7    1    8    3    2    1    6    1    9    6    
Vardas231           Pavarde231          1    1    5    2    9    6    8    7    8    3    10   
Vardas232           Pavarde232          8    8    10   1    5    2    7    6    4    2    9    
Vardas233           Pavarde233          1    2    5    1    5    1    6    3    2    5    2    
Vardas234           Pavarde234          3    5    3    3    8    7    1    6    4    10   4    
Vardas235           Pavarde235          9    3    9    1    9    9    10   10   3    3    8    
Vardas236           Pavarde236          10   9    9    8    6    4    4    9    4    10   6    
Vardas237           Pavarde237          5    5    8    4    5    9    9    7    2    6    7    
Vardas238           Pavarde238          2    9    5    6    2    5    4    8    1    6    10   
Vardas239           Pavarde239          8    3    3    4    7    4    6    1    5    10   6    
Vardas240           Pavarde240          2    2    5    6    3    2    5    2    2    8    4    
Vardas241           Pavarde241          7    10   2    4    9    2    8    2    3    1    10   
Vardas242           Pavarde242          6    8    4    10   10   2    5    8    7    5    3    
Vardas243           Pavarde243          2    5    6    9    7    4    5    9    7    7    8    
Vardas244           Pavarde244          2    1    2    2    7    10   1    9    5    5    9    
Vardas245           Pavarde245          10   10   6    9    1    7    4    4    6    1    4    
Vardas246           Pavarde246          3    6    10   9    4    9    4    2    6    8    5    
Vardas247           Pavarde247          6    3    9    6    5    10   9    4    10   2    6    
Vardas248           Pavarde248          4    6    1    6    5    6    10   8    8    1    2    
Vardas249           Pavarde249          5    8    10   1    2    5    5    10   5    2    9    
Vardas250           Pavarde250          5    8    3    4    9    2    1    9    10   6    5    
Vardas251           Pavarde251          4    1    8    3    7    4    1    10   10   10   5    
Vardas252           Pavarde252          7    7    6    7    10   2    3    1    3    3    1    
Vardas253           Pavarde253          8    4    9    6    10   4    10   10   1    7    7    
Vardas254           Pavarde254          6    2    5    7    10   1    7    8    7    3    10   
Vardas255           Pavarde255          3    3    6    7    2    10   6    7    6    5    4    
Vardas256           Pavarde256          4    9    8    4    3    4    2    5    5    8    2    
Vardas257           Pavarde257          7    7    7    7    4    7    10   2    7    6    5    
Vardas258           Pavarde258          6    1    8    7    8    5    6    3    10   2    3    
Vardas259           Pavarde259          2    10   4    8    7    6    2    9    10   6    7    
Vardas260           Pavarde260          8    3    1    4    7    5    6    1    7    2    6    
Vardas261           Pavarde261          8    5    10   1    7    2    7    3    4    3    8    
Vardas262           Pavarde262          3    2    8    10   1    8    3    6    7    5    9    
Vardas263           Pavarde263          2    9    3    6    8    4    9    7    10   4    3    
Vardas264           Pavarde264          4    9    10   6    6    10   8    9    4    8    3    
Vardas265           Pavarde265          8    4    6    2    9    4    2    7    1    2    2    
Vardas266           Pavarde266          4    9    8    1    7    3    3    4    4    7    9    
Vardas267           Pavarde267          1    2    3    10   5    2    2    1    5    2    4    
Vardas268           Pavarde268          5    4    4    10   8    1    7    7    3    4    2    
Vardas269           Pavarde269          2    9    7    7    3    3    1    6    7    8    7    
Vardas270           Pavarde270          7    2    3    4    6    5    3    1    3    7    4    
Vardas271           Pavarde271          3    7    5    6    7    7    5    7    3    8    2    
Vardas272           Pavarde272          1    9    2    1    9    4    7    7    3    2    5    
Vardas273           Pavarde273          9    3    4    10   5    6    10   9    1    2    3    
Vardas274           Pavarde274          1    9    2    9    4    9    2    4    2    10   3    
Vardas275           Pavarde275          8    3    6    1    8    4    10   9    1    5    2    
Vardas276           Pavarde276          8    9    10   10   10   3    10   7    10   1    4    
Vardas277           Pavarde277          7    8    3    9    5    8    8    3    8    6    3    
Vardas278           Pavarde278          1    8    2    2    2    10   3    2    2    1    7    
Vardas279           Pavarde279          2    5    8    3    6    7    10   1    4    8    3    
Vardas280           Pavarde280          1    8    2    9    2    3    8    10   2    3    8    
Vardas281           Pavarde281          9    3    9    6    3    1    4    9    2    4    4    
Vardas282           Pavarde282          4    7    4    8    5    4    6    7    9    7    9    
Vardas283           Pavarde283          9    8    3    2    6    1    4    3    9    7    7    
Vardas284           Pavarde284          10   8    2    7    1    3    6    4    3    10   2    
Vardas285           Pavarde285          3    2    2    7    1    7    4    5    3    2    1    
Vardas286           Pavarde286          3    3    7    10   5    8    9    5    5    2    9    
Vardas287           Pavarde287          10   10   10   8    2    2    5    1    5    4    6    
Vardas288           Pavarde288          5    1    5    3    10   3    4    5    9    9    10   
Vardas289           Pavarde289          6    9    4    1    10   3    10   6    8    2    5    
Vardas290           Pavarde290          1    6    10   1    6    4    6    3    8    4    5    
Vardas291           Pavarde291          10   1    8    4    4    4    2    10   5    10   10   
Vardas292           Pavarde292          2    9    7    2    6    6    7    7    2    6    4    
Vardas293           Pavarde293          6    5    9    8    4    10   9    8    2    10   2    
Vardas294           Pavarde294          10   5    5    7    8    9    7    10   9    7    1    
Vardas295           Pavarde295          8    6    5    5    1    9    6    10   2    4    2    
Vardas296           Pavarde296          8    9    5    7    10   5    1    8    1    8    1    
Vardas297           Pavarde297          7    7    7    7    10   5    8    6    5    4    4    
Vardas298           Pavarde298          4    5    5    6    8    9    8    10   1    3    1    
Vardas299           Pavarde299          5    1    9    10   2    10   3    10   10   5    10   
Vardas300           Pavarde300          3    2    2    2    2    9    4    10   3    10   4    
Vardas301           Pavarde301          6    7    8    3    9    10   3    7    6    10   8    
Vardas302           Pavarde302          2    7    7    2    7    8    5    5    10   1    6    
Vardas303           Pavarde303          3    9    3    1    10   5    6    5    3    3    4    
Vardas304           Pavarde304          2    3    10   2    10   4    4    7    2    10   5    
Vardas305           Pavarde305          8    5    4    7    5    1    4    1    8    6    6    
Vardas306           Pavarde306          5    3    2    2    6    7    3    5    9    1    3    
Vardas307           Pavarde307          5    2    5    6    8    2    10   1    10   2    10   
Vardas308           Pavarde308          4    7    3    10   6    10   10   1    4    1    10   
Vardas309           Pavarde309          10   9    1    8    6    1    3    5    5    3    3    
Vardas310           Pavarde310          8    4    9    5    3    3    10   2    7    8    3    
Vardas311           Pavarde311          9    5    9    3    8    4    2    5    9    8    2    
Vardas312           Pavarde312          1    5    3    9    7    4    6    8    2    7    6    
Vardas313           Pavarde313          1    6    8    5    2    5    9    4    2    8    7    
Vardas314           Pavarde314          8    8    6    7    4    5    4    3    5    10   2    
Vardas315           Pavarde315          9    8    8    5    5    2    4    8    2    3    7    
Vardas316           Pavarde316          3    3    8    2    2    4    6    8    10   5    1    
Vardas317           Pavarde317          6    7    4    10   3    1    3    10   10   3    6    
Vardas318           Pavarde318          9    3    7    3    1    8    1    8    5    4    8    
Vardas319           Pavarde319          4    2    7    2    8    2    10   9    10   4    7    
Vardas320           Pavarde320          5    4    1    2    9    3    5    9    10   4    7    
Vardas321           Pavarde321          2    6    9    1    6    4    9    1    9    4    6    
Vardas322           Pavarde322          10   9    5    4    9    6    1    8    5    9    8    
Vardas323           Pavarde323          10   1    1    8    6    2    6    1    2    9    7    
Vardas324           Pavarde324          3    2    2    7    4    2    2    5    1    8    5    
Vardas325           Pavarde325          6    5    1    3    4    7    8    1    8    7    4    
Vardas326           Pavarde326          5    9    10   4    10   3    7    3    9    10   2    
Vardas327           Pavarde327          9    10   8    7    10   4    10   3    6    2    8    
Vardas328           Pavarde328          7    4    8    8    1    5    5    10   8    7    6    
Vardas329           Pavarde329          6    6    8    2    10   4    8    10   5    9    5    
Vardas330           Pavarde330          1    3    1    7    6    4    1    2    7    9    10   
Vardas331           Pavarde331          9    5    6    9    10   6    1    1    8    10   8    
Vardas332           Pavarde332          2    7    6    3    2    8    8    5    6    10   5    
Vardas333           Pavarde333          4    8    3    5    9    9    5    8    3    1    5    
Vardas334           Pavarde334          1    7    10   4    5    1    5    8    4    3    6    
Vardas335           Pavarde335          10   1    6    10   1    4    10   6    5    6    6    
Vardas336           Pavarde336          9    5    7    5    8    5    8    6    1    5    2    
Vardas337           Pavarde337          9    4    5    4    6    10   4    5    3    5    6    
Vardas338           Pavarde338          6    4    2    5    3    7    6    9    8    3    2    
Vardas339           Pavarde339          5    1    8    4    7    4    6    7    8    7    4    
Vardas340           Pavarde340          1    2    5    2    6    5    5    10   1    2    9    
Vardas341           Pavarde341          8    2    9    9    7    8    9    9    2    1    10   
Vardas342           Pavarde342          10   2    7    1    10   3    8    3    3    8    8    
Vardas343           Pavarde343          1    3    2    4    8    3    6    10   1    8    6    
Vardas344           Pavarde344          3    7    1    8    10   2    3    7    5    5    10   
Vardas345           Pavarde345          6    6    9    9    6    9    9    2    3    9    3    
Vardas346           Pavarde346          5    8    1    7    10   10   1    3    8    1    4    
Vardas347           Pavarde347          6    10   10   8    4    1    3    5    9    2    4    
Vardas348           Pavarde348          1    9    4    7    3    3    5    7    3    10   1    
Vardas349           Pavarde349          9    6    5    8    4    6    9    8    5    1    9    
Vardas350           Pavarde350          2    2    4    2    2    4    9    7    9    2    8    
Vardas351           Pavarde351          1    2    2    2    3    3    8    2    7    4    10   
Vardas352           Pavarde352          10   1    5    2    10   4    3    2    10   1    2    
Vardas353           Pavarde353          3    5    8    5    4    3    7    5    8    2    2    
Vardas354           Pavarde354          9    3    4    2    10   5    4    1    3    4    4    
Vardas355           Pavarde355          2    10   8    9    7    8    10   7    3    1    9    
Vardas356           Pavarde356          10   5    10   7    8    10   8    6    7    9    1    
Vardas357           Pavarde357          10   9    7    9    10   6    10   2    10   3    5    
Vardas358           Pavarde358          4    10   9    5    9    5    10   8    9    1    3    
Vardas359           Pavarde359          9    5    3    4    4    1    10   1    9    9    10   
Vardas360           Pavarde360          4    9    9    4    6    1    8    2    4    5    4    
Vardas361           Pavarde361          4    3    3    10   8    1    5    6    9    2    9    
Vardas362           Pavarde362          9    7    1    10   5    10   9    6    4    2    4    
Vardas363           Pavarde363          5    8    3    7    10   10   1    4    9    2    10   
Vardas364           Pavarde364          9    4    2    7    8    8    7    7    4    6    9    
Vardas365           Pavarde365          1    9    2    9    8    5    5    5    10   3    10   
Vardas366           Pavarde366          6    2    9    10   8    5    3    8    6    3    3    
Vardas367           Pavarde367          5    6    5    10   8    5    7    9    9    1    4    
Vardas368           Pavarde368          5    7    9    1    8    9    4    7    7    3    2    
Vardas369           Pavarde369          9    10   1    2    1    7    9    4    9    2    3    
Vardas370           Pavarde370          6    9    8    2    3    9    1    9    10   3    6    
Vardas371           Pavarde371          8    1    3    3    7    8    5    2    5    1    5    
Vardas372           Pavarde372          9    10   5    9    6    2    5    9    9    8    9    
Vardas373           Pavarde373          1    1    9    8    3    1    10   9    10   8    4    
Vardas374           Pavarde374          7    9    1    4    3    4    4    3    4    4    2    
Vardas375           Pavarde375          4    2    8    7    6    7    6    8    3    8    9    
Vardas376           Pavarde376          9    10   10   5    7    3    6    1    7    2    7    
Vardas377           Pavarde377          6    4    10   6    8    2    1    5    5    9    8    
Vardas378           Pavarde378          4    2    10   6    10   6    1    3    9    3    8    
Vardas379           Pavarde379          8    1    10   6    9    8    4    9    2    9    6    
Vardas380           Pavarde380          1    4    6    7    7    6    10   8    9    1    8    
Vardas381           Pavarde381          2    7    7    9    1    2    3    9    3    9    8    
Vardas382           Pavarde382          4    4    2    7    2    1    1    9    9    9    3    
Vardas383           Pavarde383          2    5    5    1    5    9    2    2    5    2    2    
Vardas384           Pavarde384          2    2    2    10   1    6    5    8    3    1    10   
Vardas385           Pavarde385          6    9    9    10   9    3    6    1    2    6    5    
